('16:03:31', '16:03:31', 0.015919923782348633)
('16:03:31', '16:03:31', 0.40657901763916016)
('16:03:32', '16:03:32', 0.015349864959716797)
('16:03:32', '16:03:32', 0.015436172485351562)
('16:03:32', '16:03:32', 0.0314021110534668)
('16:03:33', '16:03:33', 0.030890941619873047)
('16:03:33', '16:03:33', 0.03141593933105469)
('16:03:33', '16:03:33', 0.03124690055847168)
('16:03:34', '16:03:34', 0.015470027923583984)
('16:03:34', '16:03:34', 0.015451908111572266)
('16:03:34', '16:03:34', 0.03159904479980469)
('16:03:34', '16:03:34', 0.015347957611083984)
('16:03:34', '16:03:34', 0.015959978103637695)
('16:03:35', '16:03:35', 0.03098011016845703)
('16:03:35', '16:03:35', 0.015498161315917969)
('16:03:35', '16:03:35', 0.020357847213745117)
('16:03:35', '16:03:35', 0.015403032302856445)
('16:03:36', '16:03:36', 0.030874013900756836)
('16:03:36', '16:03:36', 0.03041696548461914)
('16:03:36', '16:03:36', 0.01616692543029785)
('16:03:36', '16:03:36', 0.015464067459106445)
('16:03:36', '16:03:36', 0.015808820724487305)
('16:03:36', '16:03:36', 0.015928983688354492)
('16:03:37', '16:03:37', 0.015413999557495117)
('16:03:37', '16:03:37', 0.015111923217773438)
('16:03:37', '16:03:37', 0.046591997146606445)
('16:03:37', '16:03:37', 0.01545095443725586)
('16:03:37', '16:03:37', 0.015002012252807617)
('16:03:38', '16:03:38', 0.01633596420288086)
('16:03:38', '16:03:38', 0.01604604721069336)
('16:03:38', '16:03:38', 0.015464067459106445)
('16:03:38', '16:03:38', 0.015527963638305664)
('16:03:38', '16:03:38', 0.016249895095825195)
('16:03:38', '16:03:38', 0.015370845794677734)
('16:03:38', '16:03:38', 0.015463113784790039)
('16:03:38', '16:03:38', 0.01535797119140625)
('16:03:38', '16:03:38', 0.017533063888549805)
('16:03:39', '16:03:39', 0.015383005142211914)
('16:03:39', '16:03:39', 0.01544189453125)
('16:03:39', '16:03:39', 0.015383005142211914)
('16:03:39', '16:03:39', 0.015358924865722656)
('16:03:39', '16:03:39', 0.015411138534545898)
('16:03:39', '16:03:39', 0.01547694206237793)
('16:03:39', '16:03:39', 0.015961885452270508)
('16:03:39', '16:03:39', 0.0159909725189209)
('16:03:39', '16:03:40', 0.015935897827148438)
('16:03:40', '16:03:40', 0.0158689022064209)
('16:03:40', '16:03:40', 0.03199601173400879)
('16:03:40', '16:03:40', 0.015447139739990234)
('16:03:40', '16:03:40', 0.015466928482055664)
('16:03:40', '16:03:40', 0.015693187713623047)
('16:03:40', '16:03:40', 0.015339136123657227)
('16:03:40', '16:03:40', 0.04675483703613281)
('16:03:41', '16:03:41', 0.03194785118103027)
('16:03:41', '16:03:41', 0.030928850173950195)
('16:03:41', '16:03:41', 0.015399932861328125)
('16:03:41', '16:03:41', 0.03185892105102539)
('16:03:41', '16:03:41', 0.016051054000854492)
('16:03:41', '16:03:41', 0.014878988265991211)
('16:03:42', '16:03:42', 0.030938148498535156)
('16:03:42', '16:03:42', 0.030848979949951172)
('16:03:42', '16:03:42', 0.015548944473266602)
('16:03:42', '16:03:42', 0.046301841735839844)
('16:03:42', '16:03:42', 0.031008005142211914)
('16:03:42', '16:03:42', 0.015310049057006836)
('16:03:43', '16:03:43', 0.015928030014038086)
('16:03:43', '16:03:43', 0.015430212020874023)
('16:03:43', '16:03:43', 0.015404939651489258)
('16:03:43', '16:03:43', 0.015400886535644531)
('16:03:43', '16:03:43', 0.01593017578125)
('16:03:43', '16:03:43', 0.03102588653564453)
('16:03:43', '16:03:43', 0.01593804359436035)
('16:03:43', '16:03:43', 0.015384197235107422)
('16:03:43', '16:03:44', 0.015367984771728516)
('16:03:44', '16:03:44', 0.03144693374633789)
('16:03:44', '16:03:44', 0.015342950820922852)
('16:03:44', '16:03:44', 0.015727996826171875)
('16:03:44', '16:03:44', 0.015369892120361328)
('16:03:44', '16:03:44', 0.030894994735717773)
('16:03:45', '16:03:45', 0.03116607666015625)
('16:03:45', '16:03:45', 0.015465021133422852)
('16:03:45', '16:03:45', 0.04681110382080078)
('16:03:45', '16:03:45', 0.015353918075561523)
('16:03:45', '16:03:45', 0.015477895736694336)
('16:03:45', '16:03:45', 0.031064987182617188)
('16:03:46', '16:03:46', 0.015482902526855469)
('16:03:46', '16:03:46', 0.01596808433532715)
('16:03:46', '16:03:46', 0.015536069869995117)
('16:03:46', '16:03:46', 0.015506982803344727)
